short_title,word,n,total,tf,idf,tf_idf
"Henry IV, Part 1",riding,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rises,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",river,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rod,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rode,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",roll,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rudely,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",ruffian,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rushes,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",rusty,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",saddle,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",sandy,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",secrecy,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",seem'st,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",shaked,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",sharing,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",shock,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",shorter,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",shouts,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",shuffling,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",similes,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",sixteen,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",skipping,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",slander'd,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",sleeves,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",smiled,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",smug,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",snatched,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",snorting,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",snuff,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",solemnly,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",starved,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",steed,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",stirs,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",stool,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",strangle,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",stuffed,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",submission,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",succour,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",sue,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",summer's,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",sunday,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",superfluous,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",surprised,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",swallowing,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",sweats,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",swine,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",target,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",teacher,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",temperate,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",termagant,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",theft,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",therewith,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",thirsty,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",threatens,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",threefold,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",tithe,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",tractable,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",transformation,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",treasures,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",trimm'd,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",tripping,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",tristful,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",truncheon,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",trunk,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",tunes,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",tying,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",unclasp,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",understands,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",unlooked,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",unlucky,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",unprofitable,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",unprovided,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",unsatisfied,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",usage,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",vapours,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",vassal,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",vasty,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
