short_title,bigram,n,tf,idf,tf_idf
Richard III,barren plants,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,black despair,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,bloody battle,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,bloody deeds,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,bloody mind,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,bloody spoil,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,boar spear,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,brave plantagenet,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,bright hair,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,broken faith,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,brother farewell,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,brother live,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,brows bound,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,busy day,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,call king,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,careful watch,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,children's children,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,christian prince,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,christian soul,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,civil wounds,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,clarence daughter,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,cold night,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,council house,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,cry god,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,dance attendance,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,dead henry's,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,dear heart's,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,dear saint,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,death makes,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,deep suspicion,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,deserved death,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,divine perfection,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,earth's cold,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,easily won,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,edward plantagenet,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,england's sake,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,england's throne,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,excellent device,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,eyes withal,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,fair lord,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,fairer death,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,fame lives,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,father's brother,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,fear twill,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,fearful dream,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,fearful head,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,field tomorrow,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,foot cloth,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,fought withal,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,foul wrongs,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,friendly peace,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,friends god,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,friends quoth,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,galled eyes,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gentle blood,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gentle kiss,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gentle norfolk,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gentle princes,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gentle uncle,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,god preserve,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,god prevent,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,god sort,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,god witness,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,god wot,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,goodly day,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,goodly son,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,grace's hand,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,grace's pleasure,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gracious hand,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gracious lords,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gracious pleasure,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,gracious prince,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,grant ye,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,grief makes,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,guess wherefore,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,happy victory,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,haughty prelate,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,haughty spirit,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,healed wound,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,heart strings,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,hearted friends,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
Richard III,heavens hear,1,3.757985719654265e-4,2.917770732084279,0.0010964940744397891
