gutenberg_id,short_title,character,n_tokens,n_scenes,n_acts,genre,year
1513,Romeo and Juliet,APOTHECARY,53,1,1,Tragedy,1595
1513,Romeo and Juliet,BALTHASAR,233,2,1,Tragedy,1595
1513,Romeo and Juliet,BENVOLIO,1161,4,3,Tragedy,1595
1513,Romeo and Juliet,CAPULET,2147,5,4,Tragedy,1595
1513,Romeo and Juliet,CAPULET'S COUSIN,17,1,1,Tragedy,1595
1513,Romeo and Juliet,CHORUS,113,1,1,Tragedy,1595
1513,Romeo and Juliet,FIRST CITIZEN,43,1,2,Tragedy,1595
1513,Romeo and Juliet,FIRST MUSICIAN,71,1,1,Tragedy,1595
1513,Romeo and Juliet,FIRST SERVANT,81,2,2,Tragedy,1595
1513,Romeo and Juliet,FIRST WATCH,162,1,1,Tragedy,1595
1513,Romeo and Juliet,FRIAR JOHN,97,1,1,Tragedy,1595
1513,Romeo and Juliet,FRIAR LAWRENCE,2738,5,4,Tragedy,1595
1513,Romeo and Juliet,GREGORY,147,1,1,Tragedy,1595
1513,Romeo and Juliet,JULIET,4291,5,5,Tragedy,1595
1513,Romeo and Juliet,LADY CAPULET,874,5,4,Tragedy,1595
1513,Romeo and Juliet,LADY MONTAGUE,28,1,1,Tragedy,1595
1513,Romeo and Juliet,MERCUTIO,2112,2,3,Tragedy,1595
1513,Romeo and Juliet,MONTAGUE,318,2,3,Tragedy,1595
1513,Romeo and Juliet,NURSE,2232,4,4,Tragedy,1595
1513,Romeo and Juliet,PAGE,81,1,1,Tragedy,1595
1513,Romeo and Juliet,PARIS,541,5,4,Tragedy,1595
1513,Romeo and Juliet,PETER,246,2,2,Tragedy,1595
1513,Romeo and Juliet,PRINCE,590,2,3,Tragedy,1595
1513,Romeo and Juliet,ROMEO,4702,6,4,Tragedy,1595
1513,Romeo and Juliet,SAMPSON,257,1,1,Tragedy,1595
1513,Romeo and Juliet,SECOND MUSICIAN,34,1,1,Tragedy,1595
1513,Romeo and Juliet,SECOND SERVANT,96,3,2,Tragedy,1595
1513,Romeo and Juliet,SECOND WATCH,9,1,1,Tragedy,1595
1513,Romeo and Juliet,SERVANT,181,3,1,Tragedy,1595
1513,Romeo and Juliet,THIRD MUSICIAN,7,1,1,Tragedy,1595
1513,Romeo and Juliet,TYBALT,264,2,2,Tragedy,1595
1514,A Midsummer Night's Dream,BOTTOM,1636,3,4,Comedy,1595
1514,A Midsummer Night's Dream,CHORUS,34,1,1,Comedy,1595
1514,A Midsummer Night's Dream,COBWEB,5,1,2,Comedy,1595
1514,A Midsummer Night's Dream,DEMETRIUS,1070,3,5,Comedy,1595
1514,A Midsummer Night's Dream,EGEUS,296,1,2,Comedy,1595
1514,A Midsummer Night's Dream,FAIRY,189,1,1,Comedy,1595
1514,A Midsummer Night's Dream,FIRST FAIRY,46,1,1,Comedy,1595
1514,A Midsummer Night's Dream,FLUTE,114,1,2,Comedy,1595
1514,A Midsummer Night's Dream,HELENA,1817,2,4,Comedy,1595
1514,A Midsummer Night's Dream,HERMIA,1284,2,4,Comedy,1595
1514,A Midsummer Night's Dream,HIPPOLYTA,251,2,3,Comedy,1595
1514,A Midsummer Night's Dream,LION,67,1,1,Comedy,1595
1514,A Midsummer Night's Dream,LYSANDER,1410,3,5,Comedy,1595
1514,A Midsummer Night's Dream,MOON,33,1,1,Comedy,1595
1514,A Midsummer Night's Dream,MOONSHINE,24,1,1,Comedy,1595
1514,A Midsummer Night's Dream,MOTH,3,1,1,Comedy,1595
1514,A Midsummer Night's Dream,MUSTARDSEED,8,1,2,Comedy,1595
